,school_name,percent_with_no_valid_teaching_ceriticate,percent_teaching_out_of_certificate,percent_with_less_than_3_yrs_experience,percent_with_masters_and_30yrs_or_Doctorate,total_number_of_classes,percent_taught_by_teachers_without_appropriate_certificate
305,HIGH SCHOOL-YOUTH & COMM DEVELOPMENT,5,48,14,52,137,28
306,HS FOR PUBLIC SERVICE-HEROES OF TOM,4,46,4,57,168,45
307,INTERNTL HS AT PROSPECT HGHTS,0,62,21,45,71,56
308,MEDGAR EVERS COLLEGE PREP SCHOOL,3,25,10,59,358,19
309,PATHWAYS TECH EARLY COLLEGE HIGH SCH,4,30,4,33,186,20
310,SCHOOL FOR HUMAN RIGHTS (THE),5,9,5,45,100,9
311,"SCIENCE, TECH & RESEARCH EARLY COLLE",3,13,13,50,178,11
312,ACAD FOR CONSERVATION & ENVIRONMENT,15,15,30,25,99,16
313,BROOKLYN BRIDGE ACADEMY,7,20,13,53,60,18
314,BROOKLYN COMMUNITY HS-EXCEL-EQUITY,0,30,0,48,115,20
315,BROOKLYN THEATRE ARTS HIGH SCHOOL,0,28,6,67,106,32
316,CULTURAL ACADEMY-ARTS AND SCIENCES,0,24,8,52,112,21
317,EAST BROOKLYN COMMUNITY HIGH SCHOOL,0,39,17,17,87,41
318,HIGH SCHOOL FOR MEDICAL PROFESSIONS,9,30,4,43,146,22
319,HS FOR INNOVATION -ADVERTISING/MEDIA,0,45,9,45,141,26
320,IT TAKES A VILLAGE ACADEMY,0,18,13,40,288,15
321,KURT HAHN EXPEDITIONARY LRNING SCH,4,67,26,37,154,43
322,OLYMPUS ACADEMY,0,13,13,44,81,14
323,URBAN ACTION ACADEMY,0,23,18,36,101,21
324,VICTORY COLLEGIATE HIGH SCHOOL,10,50,5,40,98,46
325,ACADEMY FOR YOUNG WRITERS,7,51,27,29,211,43
326,ACADEMY OF INNOVATIVE TECHNOLOGY,3,56,10,38,218,36
327,BROOKLYN LAB SCHOOL,5,32,23,23,104,36
328,CAPTAIN VERNON A RICHARDS HS-FIRE,0,30,30,50,96,31
329,CYPRESS HILLS COLLEGIATE PREP SCHOOL,0,12,18,41,95,9
330,EAST NEW YORK FAMILY ACADEMY,0,23,13,38,212,14
331,HIGH SCHOOL FOR CIVIL RIGHTS,8,15,15,38,57,14
332,IS 171 ABRAHAM LINCOLN ,0,12,0,61,140,7
333,MULTICULTURAL HIGH SCHOOL,6,18,24,65,72,13
334,PERF ARTS & TECH HIGH SCHOOL,10,43,13,47,150,37
335,SCHOOL FOR CLASSICS HIGH SCHOOL,0,30,13,39,107,20
336,TRANSIT TECH CAREER AND TECH EDU,3,59,6,67,394,43
337,URBAN ASSEMBLY-COLLABORATIVE HEALTHC,0,44,22,28,92,39
338,W H MAXWELL CAREER AND TECH HS,0,11,0,56,151,11
339,WORLD ACAD FOR TOTAL COM HEALTH,6,53,12,41,114,44
340,FORT HAMILTON HIGH SCHOOL,0,30,8,61,1274,24
341,FRANKLIN D ROOSEVELT HIGH SCHOOL,0,9,8,70,876,6
