,school_name,attendance
408,AUGUST MARTIN HIGH SCHOOL,79
409,CHANNEL VIEW SCHOOL FOR RESEARCH,91
410,EPIC HIGH SCHOOL - NORTH,91
411,FREDERICK DOUGLASS ACAD VI HS,83
412,"HS FOR CON, TRADES, ENGINEER AND ARC",94
413,JOHN ADAMS HIGH SCHOOL,82
414,QUEENS HS FOR INFOR AND RESEARCH,82
415,RICHMOND HILL HIGH SCHOOL,85
416,ROBERT H GODDARD HS-COMM/TECH,93
417,ROCKAWAY COLLEGIATE HIGH SCHOOL,79
418,ROCKAWAY PARK HS-ENVIRONMENT SUSTAIN,77
419,SCHOLARS' ACADEMY,96
420,VOYAGES PREP-SOUTH QUEENS,63
421,FOREST HILLS HIGH SCHOOL ,90
422,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,81
423,HILLCREST HIGH SCHOOL,86
424,HILLSIDE ARTS & LETTERS ACADEMY,85
425,HS-LAW ENFORCEMENT & PUB SAFETY,90
426,JAMAICA GATEWAY TO THE SCIENCES,90
427,JHS 157 STEPHEN A HALSEY ,95
428,JHS 190 RUSSELL SAGE ,94
429,METROPOLITAN EXPEDITIONARY LRNING,95
430,PS 54 HILLSIDE,93
431,QUEENS COLLEGIATE,90
432,QUEENS GATEWAY TO HEALTH SCI SEC,97
433,QUEENS HIGH SCHOOL SCI AT YORK COLL,97
434,QUEENS METROPOLITAN HIGH SCHOOL,91
435,QUEENS SATELLITE HS-OPPORTUNITY,63
436,THOMAS A EDISON CAREER-TECH HS,93
437,YORK EARLY COLLEGE ACADEMY,96
438,YOUNG WOMEN'S LRDSHP SCHOOL,94
439,BENJAMIN FRANKLIN HS-FINANCE-INFO,89
440,CAMBRIA HEIGHTS ACADEMY,84
441,EAGLE ACADEMY FOR YOUNG MEN III,90
442,EXCELSIOR PREP HIGH SCHOOL ,88
443,GEORGE WASHINGTON CARVER HS,89
444,HUMANITIES & ARTS MAGNET HS,89
445,INSTITUTE FOR HEALTH PROFESIONS,87
446,MATH/SCIENCE RESEARCH/TECH MAGNET,83
447,PATHWAYS COLLEGE PREPARATORY SCHOOL,92
448,PREP ACADEMY FOR WRITERS,90
449,QUEENS PREPARATORY ACADEMY,82
450,ACAD FOR CAREERS IN TELEVISION-FILM,94
451,ACADEMY OF AMERICAN STUDIES,93
452,BACCALAUREATE SCHOOL-GLOBAL ED,96
453,ENERGY TECH HIGH SCHOOL,93
454,FRANK SINATRA SCHOOL OF THE ARTS HS,95
455,INFORMATION TECHNOLOGY HIGH SCHOOL,89
456,LONG ISLAND CITY HIGH SCHOOL ,81
457,NEWCOMERS HIGH SCHOOL,90
458,WILLIAM CULLEN BRYANT HIGH SCHOOL ,88
459,YOUNG WOMENS LEADERSHIP SCHOOL,95
460,CONCORD HIGH SCHOOL,70
461,CSI HS-INTERNATIONAL STUDIES,94
462,CURTIS HIGH SCHOOL,84
463,GAYNOR MCCOWN EXPEDITIONARY LEARNING,90
464,MICHAEL J PETRIDES SCHOOL (THE),93
465,NEW DORP HIGH SCHOOL,88
466,PORT RICHMOND HIGH SCHOOL,85
467,RALPH R MCKEE CAREER-TECH HIGH SCH,86
468,STATEN ISLAND TECH HIGH SCHOOL,97
469,SUSAN E WAGNER HIGH SCHOOL,90
470,TOTTENVILLE HIGH SCHOOL,90
471,ACADEMY FOR EXCELLENCE-LEADERSHIP,81
472,ACADEMY OF URBAN PLANNING-ENGINEERIN,83
473,ALL CITY LEADERSHIP SECONDARY SCH,95
474,BROOKLYN SCHOOL FOR MATH AND RESEARC,85
475,BROOKLYN SCHOOL FOR SOCIAL JUSTICE,77
476,BUSHWICK COMMUNITY HS,57
477,BUSHWICK LEADERS HS-ACAD EXCELL,82
478,EBC HIGH SCHOOL-PUBLIC SERVICE,84
